Date,Area,Building_name,Loop,Type,Usage
2017/06/07,南區,服務大樓,主迴路,行政,1322.75
2017/03/31,北區,科學一館,主迴路,教學,1322.81
2017/01/12,北區,學生十舍,主迴路,宿舍,1323.22
2017/08/10,南區,服務大樓,主迴路,行政,1323.25
2017/08/16,北區,工程二館,主迴路,教學,1323.69
2017/07/29,北區,科學一館,主迴路,教學,1323.75
2017/08/03,北區,體育館,主迴路,行政,1323.94
2016/10/22,南區,土木結構,主迴路,教學,1324
2016/12/31,北區,活動中心,主迴路,行政,1324.13
2017/03/10,南區,研究生二舍,主迴路,宿舍,1325
2016/12/17,南區,研究生二舍,主迴路,宿舍,1325
2017/08/02,北區,體育館,主迴路,行政,1325.44
2016/11/05,南區,管理二館,主迴路,教學,1325.5
2016/10/12,南區,研究生二舍,主迴路,宿舍,1326
2017/08/18,北區,中正堂,主迴路,行政,1326.06
2016/11/12,北區,環保大樓,主迴路,教學,1326.19
2016/09/11,北區,第二餐廳,1F動力1,外租,1326.25
2016/12/22,北區,體育館,主迴路,行政,1326.38
2017/04/06,北區,學生十舍,主迴路,宿舍,1326.44
2017/03/02,南區,研究生二舍,主迴路,宿舍,1326.5
2017/03/12,北區,活動中心,主迴路,行政,1326.59
2017/07/13,北區,第二餐廳,1F動力1,外租,1326.63
2017/01/08,北區,學生十舍,主迴路,宿舍,1326.66
2016/10/25,北區,人社一館,主迴路,教學,1327.13
2017/06/01,北區,管理一館,主迴路,教學,1327.69
2017/04/26,南區,研究生二舍,主迴路,宿舍,1328
2017/08/17,北區,第二餐廳,1F動力1,外租,1328.13
2017/07/22,北區,科學一館,主迴路,教學,1328.25
2017/03/01,北區,環保大樓,主迴路,教學,1328.26
2017/06/28,北區,體育館,主迴路,行政,1328.5
2017/05/01,南區,研究生二舍,主迴路,宿舍,1328.5
2016/10/04,北區,第二餐廳,1F動力1,外租,1328.5
2017/04/30,北區,學生十舍,主迴路,宿舍,1329
2017/08/05,北區,科學一館,主迴路,教學,1329.13
2017/06/30,北區,中正堂,主迴路,行政,1329.31
