weekday,時  間,區 域,館 舍 別,迴 路 別,用電別,用電量(單位:度)
7,2017/5/14,北區                  ,光電大樓                ,主迴路                 ,教學                  ,11081.13
1,2017/5/15,北區                  ,光電大樓                ,主迴路                 ,教學                  ,12836.63
2,2017/5/16,北區                  ,光電大樓                ,主迴路                 ,教學                  ,11597.75
3,2017/5/17,北區                  ,光電大樓                ,主迴路                 ,教學                  ,12025.5
4,2017/5/18,北區                  ,光電大樓                ,主迴路                 ,教學                  ,12381.75
5,2017/5/19,北區                  ,光電大樓                ,主迴路                 ,教學                  ,12096
6,2017/5/20,北區                  ,光電大樓                ,主迴路                 ,教學                  ,10890.75
7,2017/5/21,北區                  ,光電大樓                ,主迴路                 ,教學                  ,10895.75
1,2017/5/22,北區                  ,光電大樓                ,主迴路                 ,教學                  ,12665.63
2,2017/5/23,北區                  ,光電大樓                ,主迴路                 ,教學                  ,13054
3,2017/5/24,北區                  ,光電大樓                ,主迴路                 ,教學                  ,13237.13
4,2017/5/25,北區                  ,光電大樓                ,主迴路                 ,教學                  ,11867.38
5,2017/5/26,北區                  ,光電大樓                ,主迴路                 ,教學                  ,11092.63
6,2017/5/27,北區                  ,光電大樓                ,主迴路                 ,教學                  ,9826
7,2017/5/28,北區                  ,光電大樓                ,主迴路                 ,教學                  ,9985
1,2017/5/29,北區                  ,光電大樓                ,主迴路                 ,教學                  ,10767.38
2,2017/5/30,北區                  ,光電大樓                ,主迴路                 ,教學                  ,11543
3,2017/5/31,北區                  ,光電大樓                ,主迴路                 ,教學                  ,13343.13
4,2017/6/1,北區                  ,光電大樓                ,主迴路                 ,教學                  ,13993.38
5,2017/6/2,北區                  ,光電大樓                ,主迴路                 ,教學                  ,12500
6,2017/6/3,北區                  ,光電大樓                ,主迴路                 ,教學                  ,10462.88
7,2017/6/4,北區                  ,光電大樓                ,主迴路                 ,教學                  ,10279.63
1,2017/6/5,北區                  ,光電大樓                ,主迴路                 ,教學                  ,11538.63
2,2017/6/6,北區                  ,光電大樓                ,主迴路                 ,教學                  ,12119.38
3,2017/6/7,北區                  ,光電大樓                ,主迴路                 ,教學                  ,13050.38
4,2017/6/8,北區                  ,光電大樓                ,主迴路                 ,教學                  ,14093.63
