weekday;date;area;bd_name;loop;types;Usage
6;2017/04/15;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1463
7;2017/04/16;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1451.5
1;2017/04/17;南區                  ;綜合一館                ;主迴路                 ;教學                  ;2270
2;2017/04/18;南區                  ;綜合一館                ;主迴路                 ;教學                  ;2545
3;2017/04/19;南區                  ;綜合一館                ;主迴路                 ;教學                  ;2142
4;2017/04/20;南區                  ;綜合一館                ;主迴路                 ;教學                  ;2269
5;2017/04/21;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1993.5
6;2017/04/22;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1303
7;2017/04/23;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1280.5
1;2017/04/24;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1839
2;2017/04/25;南區                  ;綜合一館                ;主迴路                 ;教學                  ;2183
3;2017/04/26;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1943
4;2017/04/27;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1778
5;2017/04/28;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1599
6;2017/04/29;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1223
7;2017/04/30;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1204
1;2017/05/01;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1887
2;2017/05/02;南區                  ;綜合一館                ;主迴路                 ;教學                  ;2360
3;2017/05/03;南區                  ;綜合一館                ;主迴路                 ;教學                  ;2168.5
4;2017/05/04;南區                  ;綜合一館                ;主迴路                 ;教學                  ;2300.5
5;2017/05/05;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1982.5
6;2017/05/06;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1393
7;2017/05/07;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1348
1;2017/05/08;南區                  ;綜合一館                ;主迴路                 ;教學                  ;2273.5
2;2017/05/09;南區                  ;綜合一館                ;主迴路                 ;教學                  ;2554
3;2017/05/10;南區                  ;綜合一館                ;主迴路                 ;教學                  ;2326
4;2017/05/11;南區                  ;綜合一館                ;主迴路                 ;教學                  ;2537
5;2017/05/12;南區                  ;綜合一館                ;主迴路                 ;教學                  ;2116
6;2017/05/13;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1558
7;2017/05/14;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1534
1;2017/05/15;南區                  ;綜合一館                ;主迴路                 ;教學                  ;2423
2;2017/05/16;南區                  ;綜合一館                ;主迴路                 ;教學                  ;2198
3;2017/05/17;南區                  ;綜合一館                ;主迴路                 ;教學                  ;2118
4;2017/05/18;南區                  ;綜合一館                ;主迴路                 ;教學                  ;2292
5;2017/05/19;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1949
6;2017/05/20;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1574
7;2017/05/21;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1690.5
1;2017/05/22;南區                  ;綜合一館                ;主迴路                 ;教學                  ;2416.5
2;2017/05/23;南區                  ;綜合一館                ;主迴路                 ;教學                  ;2721
3;2017/05/24;南區                  ;綜合一館                ;主迴路                 ;教學                  ;2474.5
4;2017/05/25;南區                  ;綜合一館                ;主迴路                 ;教學                  ;2116.5
5;2017/05/26;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1605
6;2017/05/27;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1170
7;2017/05/28;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1164.5
1;2017/05/29;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1233.5
2;2017/05/30;南區                  ;綜合一館                ;主迴路                 ;教學                  ;769
3;2017/05/31;南區                  ;綜合一館                ;主迴路                 ;教學                  ;2191
4;2017/06/01;南區                  ;綜合一館                ;主迴路                 ;教學                  ;2617
5;2017/06/02;南區                  ;綜合一館                ;主迴路                 ;教學                  ;2033
6;2017/06/03;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1599
7;2017/06/04;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1490
1;2017/06/05;南區                  ;綜合一館                ;主迴路                 ;教學                  ;2422.5
2;2017/06/06;南區                  ;綜合一館                ;主迴路                 ;教學                  ;2760.5
3;2017/06/07;南區                  ;綜合一館                ;主迴路                 ;教學                  ;2542
4;2017/06/08;南區                  ;綜合一館                ;主迴路                 ;教學                  ;2739
5;2017/06/09;南區                  ;綜合一館                ;主迴路                 ;教學                  ;2220.5
6;2017/06/10;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1843.5
7;2017/06/11;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1905
1;2017/06/12;南區                  ;綜合一館                ;主迴路                 ;教學                  ;2612.5
2;2017/06/13;南區                  ;綜合一館                ;主迴路                 ;教學                  ;2855.5
3;2017/06/14;南區                  ;綜合一館                ;主迴路                 ;教學                  ;2391
4;2017/06/15;南區                  ;綜合一館                ;主迴路                 ;教學                  ;2059
5;2017/06/16;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1790
6;2017/06/17;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1425
7;2017/06/18;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1339
1;2017/06/19;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1615
2;2017/06/20;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1789
3;2017/06/21;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1951.5
4;2017/06/22;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1903
5;2017/06/23;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1786.5
6;2017/06/24;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1866.5
7;2017/06/25;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1793
1;2017/06/26;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1996
2;2017/06/27;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1903.5
3;2017/06/28;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1966
4;2017/06/29;南區                  ;綜合一館                ;主迴路                 ;教學                  ;2005
5;2017/06/30;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1842
6;2017/07/01;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1580.5
7;2017/07/02;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1555.5
1;2017/07/03;南區                  ;綜合一館                ;主迴路                 ;教學                  ;2074
2;2017/07/04;南區                  ;綜合一館                ;主迴路                 ;教學                  ;2094.5
3;2017/07/05;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1914.5
4;2017/07/06;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1888.5
5;2017/07/07;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1827
6;2017/07/08;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1567
7;2017/07/09;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1621.5
1;2017/07/10;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1946
2;2017/07/11;南區                  ;綜合一館                ;主迴路                 ;教學                  ;2078
3;2017/07/12;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1985
4;2017/07/13;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1998
5;2017/07/14;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1920
6;2017/07/15;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1631.5
7;2017/07/16;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1744.5
1;2017/07/17;南區                  ;綜合一館                ;主迴路                 ;教學                  ;2202
2;2017/07/18;南區                  ;綜合一館                ;主迴路                 ;教學                  ;2279.5
3;2017/07/19;南區                  ;綜合一館                ;主迴路                 ;教學                  ;2262.5
4;2017/07/20;南區                  ;綜合一館                ;主迴路                 ;教學                  ;2198
5;2017/07/21;南區                  ;綜合一館                ;主迴路                 ;教學                  ;2347
6;2017/07/22;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1629
7;2017/07/23;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1676
1;2017/07/24;南區                  ;綜合一館                ;主迴路                 ;教學                  ;2301
2;2017/07/25;南區                  ;綜合一館                ;主迴路                 ;教學                  ;2205
3;2017/07/26;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1998.5
4;2017/07/27;南區                  ;綜合一館                ;主迴路                 ;教學                  ;2061
5;2017/07/28;南區                  ;綜合一館                ;主迴路                 ;教學                  ;2084.5
6;2017/07/29;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1469
7;2017/07/30;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1445
1;2017/07/31;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1819
