weekday,時  間,區 域,館 舍 別,迴 路 別,用電別,用電量(單位:度)
5,2017/3/10,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,7362.5
6,2017/3/11,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,6646.5
7,2017/3/12,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,6556
1,2017/3/13,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,7422
2,2017/3/14,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,7852
3,2017/3/15,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,7401
4,2017/3/16,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,7659
5,2017/3/17,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,7385.5
6,2017/3/18,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,6614.5
7,2017/3/19,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,6635
1,2017/3/20,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,8724
2,2017/3/21,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10443.5
3,2017/3/22,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,9793
4,2017/3/23,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10247.5
5,2017/3/24,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10210
6,2017/3/25,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,8806
7,2017/3/26,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,8730
1,2017/3/27,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,9987.5
2,2017/3/28,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,9839
3,2017/3/29,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,9436
4,2017/3/30,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10066
5,2017/3/31,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10074.5
6,2017/4/1,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,7527.5
7,2017/4/2,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,7468.5
1,2017/4/3,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,7331
2,2017/4/4,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,6871
3,2017/4/5,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,7528
4,2017/4/6,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,8127
5,2017/4/7,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,8882
6,2017/4/8,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,9722
7,2017/4/9,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,9579
1,2017/4/10,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,11118
2,2017/4/11,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10855.5
3,2017/4/12,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10397.5
4,2017/4/13,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10729
5,2017/4/14,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10734.5
6,2017/4/15,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10102.5
7,2017/4/16,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10036.5
1,2017/4/17,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,11113
2,2017/4/18,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,11388.5
3,2017/4/19,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,11298
4,2017/4/20,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,11438.5
5,2017/4/21,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,11367.5
6,2017/4/22,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,9392
7,2017/4/23,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,9597.5
1,2017/4/24,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10487.5
2,2017/4/25,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10739.5
3,2017/4/26,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10764.5
4,2017/4/27,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10725
5,2017/4/28,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10600
6,2017/4/29,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,9951
7,2017/4/30,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,9888
1,2017/5/1,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,11022.5
2,2017/5/2,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,11297.5
3,2017/5/3,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,11486
4,2017/5/4,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,12015
5,2017/5/5,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,11879
6,2017/5/6,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10518
7,2017/5/7,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10212.5
1,2017/5/8,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,11499
2,2017/5/9,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,11592.5
3,2017/5/10,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,11974
4,2017/5/11,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,12138
5,2017/5/12,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,11403
6,2017/5/13,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,9965
7,2017/5/14,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,9803
1,2017/5/15,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,11523
2,2017/5/16,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,11499
3,2017/5/17,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,11385.5
4,2017/5/18,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,11730.5
5,2017/5/19,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,11393
6,2017/5/20,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10079.5
7,2017/5/21,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10072.5
1,2017/5/22,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,11230.5
2,2017/5/23,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,11974.5
3,2017/5/24,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,12078.5
4,2017/5/25,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,11654
5,2017/5/26,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10899.5
6,2017/5/27,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10028
7,2017/5/28,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,9769
1,2017/5/29,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,9879
2,2017/5/30,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10200
3,2017/5/31,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,11587
4,2017/6/1,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,12519
5,2017/6/2,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,11786
6,2017/6/3,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10552.5
7,2017/6/4,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10074.5
1,2017/6/5,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,11098.5
2,2017/6/6,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,11738.5
3,2017/6/7,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,11814
4,2017/6/8,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,12295
5,2017/6/9,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,11281
6,2017/6/10,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10158
7,2017/6/11,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10299
1,2017/6/12,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,11609
2,2017/6/13,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,12112
3,2017/6/14,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,11325
4,2017/6/15,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10870
5,2017/6/16,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10497
6,2017/6/17,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,9495
7,2017/6/18,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,9366
1,2017/6/19,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10444
2,2017/6/20,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,11439
3,2017/6/21,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,11734
4,2017/6/22,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,11683
5,2017/6/23,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,11226
6,2017/6/24,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10011
7,2017/6/25,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,9879
1,2017/6/26,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,11259
2,2017/6/27,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,11186
3,2017/6/28,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,11095
4,2017/6/29,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,11435
5,2017/6/30,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,11425
6,2017/7/1,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10658
7,2017/7/2,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10405
1,2017/7/3,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,11684
2,2017/7/4,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,11889
3,2017/7/5,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,11541
4,2017/7/6,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,11557
5,2017/7/7,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10735
6,2017/7/8,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,8330
7,2017/7/9,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,3507
1,2017/7/10,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,8028
2,2017/7/11,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10160
3,2017/7/12,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,7698
4,2017/7/13,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,9773
5,2017/7/14,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,9747
6,2017/7/15,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,7536
7,2017/7/16,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,4365
1,2017/7/17,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,8798
2,2017/7/18,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10865
3,2017/7/19,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,11007
4,2017/7/20,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10869
5,2017/7/21,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10983
6,2017/7/22,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,9698
7,2017/7/23,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,9592
1,2017/7/24,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,11259
2,2017/7/25,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,11785
3,2017/7/26,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,11712
4,2017/7/27,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,11619
5,2017/7/28,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,11597
