Date,Area,Building_name,Loop,Type,Usage
2016/09,南區,圖資中心,主迴路 ,行政,241198
2017/05,南區,圖資中心,主迴路 ,行政,256752
2016/10,南區,圖資中心,主迴路 ,行政,268246
2017/07,南區,圖資中心,主迴路 ,行政,271546
2017/08,南區,圖資中心,主迴路 ,行政,278340
2017/06,南區,圖資中心,主迴路 ,行政,287716
2017/01,南區,圖資中心,主迴路 ,行政,23432220
2017/02,北區,電資大樓,網球場燈力 ,行政,536.35
2016/12,北區,電資大樓,網球場燈力 ,行政,593.61
2017/03,北區,電資大樓,網球場燈力 ,行政,631.57
2017/01,北區,電資大樓,網球場燈力 ,行政,660.63
2017/04,北區,電資大樓,網球場燈力 ,行政,730.48
2016/11,北區,電資大樓,網球場燈力 ,行政,825.35
2016/09,北區,電資大樓,網球場燈力 ,行政,833.7
2017/05,北區,電資大樓,網球場燈力 ,行政,885.17
2017/06,北區,電資大樓,網球場燈力 ,行政,1052.48
2016/09,北區,電資大樓,網球場動力 ,行政,1101.81
2017/07,北區,電資大樓,網球場燈力 ,行政,1118.54
2017/08,北區,電資大樓,網球場燈力 ,行政,1173.31
2016/10,北區,電資大樓,網球場燈力 ,行政,1293.95
2017/01,北區,電資大樓,網球場動力 ,行政,2417.41
2017/07,北區,電資大樓,網球場動力 ,行政,2458.06
2017/06,北區,電資大樓,網球場動力 ,行政,2581.38
2017/02,北區,電資大樓,網球場動力 ,行政,2674.25
2017/08,北區,電資大樓,網球場動力 ,行政,2693.69
2016/10,北區,電資大樓,網球場動力 ,行政,2934.13
2017/04,北區,電資大樓,網球場動力 ,行政,2996.53
2016/11,北區,電資大樓,網球場動力 ,行政,3124.56
2017/05,北區,電資大樓,網球場動力 ,行政,3143
2017/03,北區,電資大樓,網球場動力 ,行政,3145.53
2016/12,北區,電資大樓,網球場動力 ,行政,3193.44
2017/02,北區,電資大樓,空調,行政,5864
2017/01,北區,電資大樓,空調,行政,9488.5
2017/03,北區,電資大樓,空調,行政,12660
2016/12,北區,電資大樓,空調,行政,27410.5
2017/04,北區,電資大樓,空調,行政,40061.5
2016/11,北區,電資大樓,空調,行政,56427.5
2017/05,北區,電資大樓,空調,行政,68479.5
2016/10,北區,電資大樓,空調,行政,81149
2016/09,北區,電資大樓,空調,行政,82459
2017/07,北區,電資大樓,空調,行政,93722
2017/06,北區,電資大樓,空調,行政,97228.5
2017/08,北區,電資大樓,空調,行政,102248
2017/02,北區,電資大樓,主迴路 ,教學,128627.5
2017/01,北區,電資大樓,主迴路 ,教學,147811.5
2017/03,北區,電資大樓,主迴路 ,教學,162137
2016/12,北區,電資大樓,主迴路 ,教學,176069
2017/04,北區,電資大樓,主迴路 ,教學,200656
2016/11,北區,電資大樓,主迴路 ,教學,210116
2017/05,北區,電資大樓,主迴路 ,教學,256653
2017/07,北區,電資大樓,主迴路 ,教學,282881
2017/06,北區,電資大樓,主迴路 ,教學,290348
2017/08,北區,電資大樓,主迴路 ,教學,305416
2016/09,北區,電資大樓,主迴路 ,教學,5042575
2016/10,北區,電資大樓,主迴路 ,教學,5425098
2017/02,南區,資訊館(南區) ,主迴路 ,行政,132981.5
2017/05,南區,資訊館(南區) ,主迴路 ,行政,140924.5
2017/03,南區,資訊館(南區) ,主迴路 ,行政,151334.5
2016/12,南區,資訊館(南區) ,主迴路 ,行政,156010.5
2017/04,南區,資訊館(南區) ,主迴路 ,行政,156185.5
2017/06,南區,資訊館(南區) ,主迴路 ,行政,157065.5
2016/11,南區,資訊館(南區) ,主迴路 ,行政,165044
2016/09,南區,資訊館(南區) ,主迴路 ,行政,180106
2017/07,南區,資訊館(南區) ,主迴路 ,行政,182857.5
2016/10,南區,資訊館(南區) ,主迴路 ,行政,186686.5
2017/08,南區,資訊館(南區) ,主迴路 ,行政,187850
2017/01,南區,資訊館(南區) ,主迴路 ,行政,5156064
2016/09,北區,資訊館(北區) ,主迴路 ,行政,0
2016/11,北區,資訊館(北區) ,主迴路 ,行政,0
2016/12,北區,資訊館(北區) ,主迴路 ,行政,0
2017/02,北區,資訊館(北區) ,主迴路 ,行政,0
2017/03,北區,資訊館(北區) ,主迴路 ,行政,0
2017/04,北區,資訊館(北區) ,主迴路 ,行政,0
2017/07,北區,資訊館(北區) ,主迴路 ,行政,0
2017/08,北區,資訊館(北區) ,主迴路 ,行政,0
2017/01,北區,資訊館(北區) ,主迴路 ,行政,100.56
2016/10,北區,資訊館(北區) ,主迴路 ,行政,158.02
